img_name,volume,distance,depth_name,corner,pose_file,pose_key
2_6_15_0_b.jpg,,3.364101099390026,2_6_15_0_b_d.npy,"[628, 2604]",2023_06_08_13_11_Lot1.json,cam_01.png
2_6_15_1_b.jpg,,3.435375887039634,2_6_15_1_b_d.npy,"[754, 2817]",2023_06_08_13_11_Lot1.json,cam_02.png
2_6_15_2_b.jpg,,3.404948700550272,2_6_15_2_b_d.npy,"[633, 2744]",2023_06_08_13_11_Lot1.json,cam_03.png
2_6_15_3_b.jpg,,3.508905366596542,2_6_15_3_b_d.npy,"[1070, 2557]",2023_06_08_13_11_Lot1.json,cam_04.png
2_6_15_4_b.jpg,,3.4571218458127504,2_6_15_4_b_d.npy,"[696, 2585]",2023_06_08_13_11_Lot1.json,cam_05.png
2_6_15_5_b.jpg,,3.5296989452197334,2_6_15_5_b_d.npy,"[917, 2682]",2023_06_08_13_11_Lot1.json,cam_06.png
2_6_15_6_b.jpg,,3.492106051161896,2_6_15_6_b_d.npy,"[582, 2435]",2023_06_08_13_11_Lot1.json,cam_07.png
2_6_15_7_b.jpg,,3.571465044781908,2_6_15_7_b_d.npy,"[956, 2543]",2023_06_08_13_11_Lot1.json,cam_08.png
2_6_15_8_b.jpg,,3.5240449577541817,2_6_15_8_b_d.npy,"[774, 2413]",2023_06_08_13_11_Lot1.json,cam_09.png
2_6_15_9_b.jpg,,3.6040007666743823,2_6_15_9_b_d.npy,"[1047, 2332]",2023_06_08_13_11_Lot1.json,cam_10.png
2_6_15_10_b.jpg,,3.6040007666743823,2_6_15_10_b_d.npy,"[1062, 2368]",2023_06_08_13_11_Lot1.json,cam_10.png
2_6_15_11_b.jpg,,3.1263086822083324,2_6_15_11_b_d.npy,"[597, 2788]",2023_06_08_13_11_Lot1.json,cam_11.png
2_6_15_12_b.jpg,,3.2048177539258083,2_6_15_12_b_d.npy,"[671, 2537]",2023_06_08_13_11_Lot1.json,cam_12.png
2_6_16_0_b.jpg,,3.337179170076173,2_6_16_0_b_d.npy,"[419, 2531]",2023_06_08_13_11_Lot1.json,cam_01.png
2_6_16_1_b.jpg,,3.423075397653633,2_6_16_1_b_d.npy,"[530, 2783]",2023_06_08_13_11_Lot1.json,cam_02.png
2_6_16_2_b.jpg,,3.3768417048761066,2_6_16_2_b_d.npy,"[431, 2698]",2023_06_08_13_11_Lot1.json,cam_03.png
2_6_16_3_b.jpg,,3.495207308909992,2_6_16_3_b_d.npy,"[825, 2498]",2023_06_08_13_11_Lot1.json,cam_04.png
2_6_16_4_b.jpg,,3.4280689808065787,2_6_16_4_b_d.npy,"[498, 2570]",2023_06_08_13_11_Lot1.json,cam_05.png
2_6_16_5_b.jpg,,3.515000502202715,2_6_16_5_b_d.npy,"[675, 2652]",2023_06_08_13_11_Lot1.json,cam_06.png
2_6_16_6_b.jpg,,3.4625836427709538,2_6_16_6_b_d.npy,"[380, 2441]",2023_06_08_13_11_Lot1.json,cam_07.png
2_6_16_7_b.jpg,,3.556079558060434,2_6_16_7_b_d.npy,"[721, 2556]",2023_06_08_13_11_Lot1.json,cam_08.png
2_6_16_8_b.jpg,,3.494334338189223,2_6_16_8_b_d.npy,"[575, 2442]",2023_06_08_13_11_Lot1.json,cam_09.png
2_6_16_9_b.jpg,,3.588317770828214,2_6_16_9_b_d.npy,"[813, 2357]",2023_06_08_13_11_Lot1.json,cam_10.png
2_6_16_10_b.jpg,,3.105950183731457,2_6_16_10_b_d.npy,"[363, 2768]",2023_06_08_13_11_Lot1.json,cam_11.png
2_6_16_11_b.jpg,,3.183116292787246,2_6_16_11_b_d.npy,"[427, 2546]",2023_06_08_13_11_Lot1.json,cam_12.png
2_6_17_0_b.jpg,,3.307137871267039,2_6_17_0_b_d.npy,"[2343, 2653]",2023_06_08_13_11_Lot1.json,cam_01.png
2_6_17_1_b.jpg,,3.349762405325734,2_6_17_1_b_d.npy,"[2358, 2754]",2023_06_08_13_11_Lot1.json,cam_03.png
2_6_17_2_b.jpg,,3.341825510146705,2_6_17_2_b_d.npy,"[2686, 2665]",2023_06_08_13_11_Lot1.json,cam_04.png
2_6_17_3_b.jpg,,3.404814977609247,2_6_17_3_b_d.npy,"[2369, 2705]",2023_06_08_13_11_Lot1.json,cam_05.png
2_6_17_4_b.jpg,,3.366492851078872,2_6_17_4_b_d.npy,"[2520, 2775]",2023_06_08_13_11_Lot1.json,cam_06.png
2_6_17_5_b.jpg,,3.4430804081349557,2_6_17_5_b_d.npy,"[2231, 2609]",2023_06_08_13_11_Lot1.json,cam_07.png
2_6_17_6_b.jpg,,3.413237231411209,2_6_17_6_b_d.npy,"[2528, 2678]",2023_06_08_13_11_Lot1.json,cam_08.png
2_6_17_7_b.jpg,,3.479489311541121,2_6_17_7_b_d.npy,"[2396, 2591]",2023_06_08_13_11_Lot1.json,cam_09.png
2_6_17_8_b.jpg,,3.4510728855699226,2_6_17_8_b_d.npy,"[2603, 2547]",2023_06_08_13_11_Lot1.json,cam_10.png
2_6_17_9_b.jpg,,3.0994570970222592,2_6_17_9_b_d.npy,"[2457, 2717]",2023_06_08_13_11_Lot1.json,cam_12.png
2_6_18_0_b.jpg,,3.4143998663978756,2_6_18_0_b_d.npy,"[475, 2407]",2023_06_08_13_11_Lot1.json,cam_01.png
2_6_18_1_b.jpg,,3.4953553518640463,2_6_18_1_b_d.npy,"[640, 2671]",2023_06_08_13_11_Lot1.json,cam_02.png
2_6_18_2_b.jpg,,3.4495861899504354,2_6_18_2_b_d.npy,"[483, 2546]",2023_06_08_13_11_Lot1.json,cam_03.png
2_6_18_3_b.jpg,,3.495107410047848,2_6_18_3_b_d.npy,"[545, 2396]",2023_06_08_13_11_Lot1.json,cam_05.png
2_6_18_4_b.jpg,,3.577470254250743,2_6_18_4_b_d.npy,"[774, 2482]",2023_06_08_13_11_Lot1.json,cam_06.png
2_6_18_5_b.jpg,,3.5233002906418855,2_6_18_5_b_d.npy,"[437, 2250]",2023_06_08_13_11_Lot1.json,cam_07.png
2_6_18_6_b.jpg,,3.548541844619482,2_6_18_6_b_d.npy,"[625, 2224]",2023_06_08_13_11_Lot1.json,cam_09.png
2_6_18_7_b.jpg,,3.638474052029544,2_6_18_7_b_d.npy,"[897, 2149]",2023_06_08_13_11_Lot1.json,cam_10.png
2_6_18_8_b.jpg,,3.1751967403062995,2_6_18_8_b_d.npy,"[457, 2612]",2023_06_08_13_11_Lot1.json,cam_11.png
2_6_18_9_b.jpg,,3.241744426766518,2_6_18_9_b_d.npy,"[509, 2330]",2023_06_08_13_11_Lot1.json,cam_12.png
2_6_19_0_b.jpg,,3.4211092711182216,2_6_19_0_b_d.npy,"[1883, 925]",2023_06_08_13_11_Lot1.json,cam_01.png
2_6_19_1_b.jpg,,3.4081711532780323,2_6_19_1_b_d.npy,"[2052, 1231]",2023_06_08_13_11_Lot1.json,cam_02.png
2_6_19_2_b.jpg,,3.4075120159759242,2_6_19_2_b_d.npy,"[1888, 1062]",2023_06_08_13_11_Lot1.json,cam_03.png
2_6_19_3_b.jpg,,3.428292185172609,2_6_19_3_b_d.npy,"[2293, 891]",2023_06_08_13_11_Lot1.json,cam_04.png
2_6_19_4_b.jpg,,3.399981912758007,2_6_19_4_b_d.npy,"[1965, 947]",2023_06_08_13_11_Lot1.json,cam_05.png
2_6_19_5_b.jpg,,3.389427360503019,2_6_19_5_b_d.npy,"[2116, 1062]",2023_06_08_13_11_Lot1.json,cam_06.png
2_6_19_6_b.jpg,,3.3772296678874083,2_6_19_6_b_d.npy,"[1892, 886]",2023_06_08_13_11_Lot1.json,cam_07.png
2_6_19_7_b.jpg,,3.374737611262443,2_6_19_7_b_d.npy,"[2062, 925]",2023_06_08_13_11_Lot1.json,cam_08.png
